"Variables","Rainfall (mm)","","","","","","","","","","",""
"Scenarios","RCP2.6","","","","RCP4.5","","","","RCP8.5","","",""
"Test","Mann 
Kendalls","","Sen‘s Slope","","Mann 
Kendalls","","Sen‘s Slope","","Mann 
Kendalls","","Sen‘s Slope",""
"Time 
Series","Zcal","","Trend    Qmed","Trend","Zcal","Trend    Qmed","","Trend","Zcal","","Trend    Qmed","Trend"
"January","0.00","o","0.00","o","0.00","o","0.00","o","0.00","o","0.00","o"
"February","0.00","o","0.00","o","0.00","o","0.00","o","0.00","o","0.00","o"
"March","0.00","o","0.00","o","0.00","o","0.00","o","0.00","o","0.00","o"
"April","0.00","o","0.00","o","0.00","o","0.00","o","0.00","o","0.00","o"
"May","2.06","↑","2.44","↑","0.00","o","1.44","↑","1.11","↑","0.84","↑"
"June","-0.80","↓","-2.98","↑","0.39","↑","6.74","↑","-0.26","↓","-9.67","↓"
"July","-0.56","↓","-0.46","↓","0.00","o","-0.46","↓","-0.52","↓","-0.73","↓"
"August","-1.55","↓","-0.24","↓","-2.71","↓","-0.37","↓","0.00","o","0.00","o"
"September","0.39","↑","1.53","↑","-0.26  ↓","","-1.82","↓","-0.30","↓","-0.19","↓"
"October","-2.58","↓","-0.87","↓","1.86","↑","1.47","↑","0.00","o","0.94","↑"
"November","-1.39","↓","-0.10","↓","0.88","↑","0.20","↑","2.47","↑","0.07","↑"
"December","0.00","o","0.00","o","0.00","o","0.00","o","0.00","o","0.00","o"
"Symbols: ↑ = Increasing Trend, ↓ =  Decreasing Trend, o = No Trend","","","","","","","","","","","",""
